No,word,POST,Meaning,Amharic,"["""
4380,scrupulous,adj,"Cautious in action for fear of doing wrong,,attentive to details, honest in dealings, conscientious",ጥንቃቄ,
4381,scrutinize,v,to examine closely visually,መመርመር,
4382,scurrilous,adj,Grossly indecent or vulgar,ሥጋዊ,
4383,scuttle,v,To sink (a ship) by making holes in the bottom,ማስገባት,
4384,scythe,n,"A long curved blade for mowing, reaping, etc",ማጭድ,
4385,séance,n,A meeting of spirituals for consulting spirits,ሴንስ,
4386,sear,v,To burn on the surface,ማቃጠል,
4387,sebaceous,adj,Pertaining to or appearing like fat,ስብ,
4388,secant,adj,"Cutting, especially into two parts",መቆረጥ,
4389,secede,v,"To withdraw from union or association, especially from a political or religious body",መለየት,
4390,secession,n,"Voluntary withdrawal from fellowship, especially from political or religious bodies",መለየት,
4391,seclude,v,"To place, keep, or withdraw from the companionship of others",ማግለል,
4392,seclusion,n,Solitude,ብቸኝነት,
4393,secondary,adj,Less important or effective than that which is primary,ሁለተኛ,
4394,secondly,adv,In the second place in order or succession,በሁለተኛ,
4395,second-rate,adj,"Second in quality, size, rank, importance, etc",ሁለተኛ,
4396,secrecy,n,Concealment,ምስጢር,
4397,secretary,n,"One who attends to correspondence, keeps records or does other writing for others",ጸሐፊ,
4398,secretive,adj,Having a tendency to conceal,ምስጢራዊ,
4399,sedate,adj,Even-tempered,ረጋ,
4400,sedentary,adj,Involving or requiring much sitting,ተቀመጥ,
4401,sediment,n,Matter that settles to the bottom of a liquid,ደለል,
4402,sedition,n,Conduct directed against public order and the tranquility of the state,አመጽ,
4403,seditious,adj,Promotive of conduct directed against public order and the tranquility of the state,አማፂ,
4404,seduce,v,To entice to surrender chastity,ማታለል,
4405,sedulous,adj,Persevering in effort or endeavor,ትጉህ,
4406,seemly,adj,"proper, suitable",ተገቢ,
4407,seer,n,A prophet,ነቢይ,
4408,seethe,v,To be violently excited or agitated,ማፍላት,
4409,seignior,n,"A title of honor or respectful address, equivalent to sir",ጌታ,
4410,seismograph,n,An instrument for recording the phenomena of earthquakes,የመሬት መንቀጥቀጥ መለኪያ,
4411,seize,v,To catch or take hold of suddenly and forcibly,መያዝ,
4412,selective,adj,Having the power of choice,መራጭ,
4413,self-respect,n,Rational self-esteem,በራስ መተማመን,
4414,semblance,n,Outward appearance,መልክ,
4415,semiannual,adj,Recurring at intervals of six months,የግማሽ ዓመት,
4416,semicircle,n,A half-circle,ግማሽ ክብ,
4417,semicivilized,adj,Half-civilized,ግማሽ ስልጣኔ,
4418,semiconscious,adj,Partially conscious,ግማሽ ንቃት,
4419,seminar,n,Any assemblage of pupils for real research in some specific study under a teacher,ሴሚናር,
4420,seminary,n,"A special school, as of theology or pedagogics",ሴሚናሪ,
4421,senile,adj,Peculiar to or proceeding from the weakness or infirmity of old age,የእርጅና,
4422,sensation,n,A condition of mind resulting from spiritual or inherent feeling,ስሜት,
4423,sense,n,"The signification conveyed by some word, phrase, or action",ስሜት,
4424,sensibility,n,Power to perceive or feel,ስሜታዊነት,
4425,sensitive,adj,Easily affected by outside operations or influences,ስሜታዊ,
4426,sensorium,n,The sensory apparatus,ሴንሰሪየም,
4427,sensual,adj,Pertaining to the body or the physical senses,ሥጋዊ,
4428,sensuous,adj,Having a warm appreciation of the beautiful or of the refinements of luxury,ስሜታዊ,
4429,sentence,n,A related group of words containing a subject and a predicate and expressing a complete thought,ዓረፍተ ነገር,
4430,sentience,n,Capacity for sensation or sense-perception,ስሜታዊነት,
4431,sentient,adj,Possessing the power of sense or sense-perception,ስሜታዊ,
4432,sentinel,n,Any guard or watch stationed for protection,ጠባቂ,
4433,separable,adj,Capable of being disjoined or divided,የሚለያይ,
4434,separate,v,To take apart,መለየት,
4435,separatist,n,A seceder,ተለያይ,
4436,septennial,adj,Recurring every seven years,የሰባት ዓመት,
4437,sepulcher,n,A burial-place,መቃብር,
4438,sequacious,adj,Ready to be led,ተከታይ,
4439,sequel,n,That which follows in consequence of what has previously happened,ቀጣይ,
4440,sequence,n,"The order in which a number or persons, things, or events follow one another in space or time",ቅደም ተከተል,
4441,sequent,adj,Following in the order of time,ተከታይ,
4442,sequester,v,"To cause to withdraw or retire, as from society or public life",ማግለል,
4443,sequestrate,v,To confiscate,መውረስ,
4444,sergeant,n,A non-commissioned military officer ranking next above a corporal,ሳጅን,
4445,sergeant-at-arms,n,An executive officer in legislative bodies who enforces the orders of the presiding officer,የሥርዓት አስከባሪ,
4446,sergeant-major,n,The highest non-commissioned officer in a regiment,ሻለቃ ሳጅን,
4447,serpentine,adj,"serpentlike, snake-like",እንደ እባብ,
4448,service,n,Any work done for the benefit of another,አገልግሎት,
4449,serviceable,adj,Durable,ጠቃሚ,
4450,servile,adj,like a servant; submissive,ባሪያ,
4451,servitude,n,Slavery,ባርነት,
4452,severance,n,Separation,መለየት,
4453,severely,adv,Extremely,በከፋ,
4454,sextet,n,A band of six singers or players,ስድስት ሰዎች,
4455,sextuple,adj,Multiplied by six,በስድስት የተባዛ,
4456,sheer,adj,Absolute,ፍጹም,
4457,shiftless,adj,"Wanting in resource, energy, or executive ability",ቸልተኛ,
4458,shrewd,adj,Characterized by skill at understanding and profiting by circumstances,አስተዋይ,
4459,shriek,n,"A sharp, shrill outcry or scream, caused by agony or terror",ጩኸት,
4460,shrinkage,n,A contraction of any material into less bulk or dimension,መቀነስ,
4461,shrivel,v,To draw or be drawn into wrinkles,ማድረቅ,
4462,shuffle,n,A mixing or changing the order of things,ማደራጀት,
4463,sibilance,n,A hissing sound,ፊካ,
4464,sibilant,adj,Made with a hissing sound,ፊካ,
4465,sibilate,v,"To give a hissing sound to, as in pronouncing the letter s",ማፍካት,
4466,sidelong,adj,Inclining or tending to one side,ወደ ጎን,
4467,sidereal,adj,Pertaining to stars or constellations,የከዋክብት,
4468,siege,n,A beleaguerment,ከበባ,
4469,significance,n,Importance,ትርጉም,
4470,significant,adj,"Important, especially as pointing something out",ትርጉም ያለው,
4471,signification,n,"The meaning conveyed by language, actions, or signs",ትርጉም,
4472,similar,adj,Bearing resemblance to one another or to something else,ተመሳሳይ,
4473,simile,n,A comparison which directs the mind to the representative object itself,ምሳሌ,
4474,similitude,n,Similarity,ተመሳሳይነት,
4475,simplify,v,To make less complex or difficult,ማቃለል,
4476,simulate,v,Imitate,ማስመሰል,
4477,simultaneous,adj,"Occurring, done, or existing at the same time",በአንድ ጊዜ,
4478,sinecure,n,Any position having emoluments with few or no duties,ቀላል ሹመት,
4479,singe,v,To burn slightly or superficially,ማቃጠል,
4480,sinister,adj,Evil,ክፉ,
4481,sinuosity,n,The quality of curving in and out,መጠምጠም,
4482,sinuous,adj,Curving in and out,የሚጠምጠም,
4483,sinus,n,An opening or cavity,ጉድጓድ,
4484,siren,n,"A sea-nymph, described by Homer as dwelling between the island of Circe and Scylla",ሳይሬን,
4485,sirocco,n,hot winds from Africa,ሲሮኮ,
4486,sisterhood,n,A body of sisters united by some bond of sympathy or by a religious vow,እህትማማችነት,
4487,skeptic,n,One who doubts any statements,አጠራጣሪ,
4488,skeptical,adj,tending to doubt,አጠራጣሪ,
4489,skepticism,n,The entertainment of doubt concerning something,አጠራጣሪነት,
4490,skiff,n,"Usually, a small light boat propelled by oars",ትንሽ ጀልባ,
4491,skirmish,n,Desultory fighting between advanced detachments of two armies,ጥቃት,
4492,sleight,n,A trick or feat so deftly done that the manner of performance escapes observation,ብልሃት,
4493,slight,adj,Of a small importance or significance,ትንሽ,
4494,slothful,adj,Lazy,ሰነፍ,
4495,sluggard,n,A person habitually lazy or idle,ሰነፍ,
4496,sluggish,adj,"slow moving, hard to arouse",ዘገምተኛ,
4497,sociable,adj,Inclined to seek company,ተግባቢ,
4498,socialism,n,A theory of civil polity that aims to secure the reconstruction of society,ሶሻሊዝም,
4499,socialist,adj,One who advocates reconstruction of society by collective ownership of land and capital,ሶሻሊስት,
4500,sociology,n,The philosophical study of society,ሶሺዮሎጂ,
4501,Sol,n,The sun,ፀሐይ,
4502,solace,n,"Comfort in grief, trouble, or calamity",ማጽናኛ,
4503,solar,adj,Pertaining to the sun,የፀሐይ,
4504,solder,n,A fusible alloy used for joining metallic surfaces or margins,ሐጢያት,
4505,soldier,n,A person engaged in military service,ወታደር,
4506,solecism,n,Any violation of established rules or customs,ስህተት,
4507,solicitor,n,One who represents a client in court of justice; an attorney,ጠበቃ,
4508,solicitude,n,"Uneasiness of mind occasioned by desire, anxiety, or fear",ጭንቀት,
4509,soliloquy,n,A monologue,ሞኖሎግ,
4510,solstice,n,The time of year when the sun is at its greatest declination,ፀሐይ መዞር,
4511,soluble,adj,"Capable of being dissolved, as in a fluid",የሚቀልጥ,
4512,solvent,adj,Having sufficient funds to pay all debts,መፍቻ,
4513,somber,adj,Gloomy,ጨለማ,
4514,somniferous,adj,Tending to produce sleep,የሚያንቀላፋ,
4515,somnolence,n,Oppressive drowsiness,እንቅልፍ,
4516,somnolent,adj,Sleepy,እንቅልፍ,
4517,sonata,n,An instrumental composition,ሶናታ,
4518,sonnet,n,A poem of fourteen decasyllabic or octosyllabiclines expressing two successive phrases,ሶኔት,
4519,sonorous,adj,Resonant,ድምጽ,
4520,soothsayer,n,One who claims to have supernatural insight or foresight,እድል ተንታኝ,
4521,sophism,n,A false argument understood to be such by the reasoner himself and intentionally used to deceive,ሶፊዝም,
4522,sophistical,adj,Fallacious,አታላይ,
4523,sophisticate,v,To deprive of simplicity of mind or manner,ማወሳሰብ,
4524,sophistry,n,"Reasoning sound in appearance only, especially when designedly deceptive",ሶፊስትሪ,
4525,sophomoric,adj,of or pertaining to a sophomore; wise and foolish at the same time,የሶፎሞር,
4526,soprano,n,A woman's or boy's voice of high range,ሶፕራኖ,
4527,sorcery,n,Witchcraft,ጠንቋይነት,
4528,sordid,adj,Of degraded character or nature,ርኩስ,
4529,souvenir,n,A token of remembrance,መታሰቢያ,
4530,sparse,adj,Thinly diffused,ተሰራጭቶ,
4531,Spartan,adj,Exceptionally brave; rigorously severe,ስፓርታን,
4532,spasmodic,adj,Convulsive,የሚንቀጠቀጥ,
4533,specialize,v,"To assume an individual or specific character, or adopt a singular or special course",ልዩ ማድረግ,
4534,specialty,n,An employment limited to one particular line of work,ልዩ ሙያ,
4535,specie,n,"A coin or coins of gold, silver, copper, or other metal",ሳንቲም,
4536,species,n,A classificatory group of animals or plants subordinate to a genus,ዝርያ,
4537,specimen,n,One of a class of persons or things regarded as representative of the class,ናሙና,
4538,specious,adj,Plausible,የሚታመን,
4539,spectator,n,One who beholds or looks on,ተመልካች,
4540,specter,n,Apparition,መንፈስ,
4541,spectrum,n,An image formed by rays of light or other radiant energy,ስፔክትረም,
4542,speculate,v,To pursue inquiries and form conjectures,መገመት,
4543,speculator,n,"One who makes an investment that involves a risk of loss, but also a chance of profit",ኢንቨስተር,
4544,sphericity,n,The state or condition of being a sphere,ክብነት,
4545,spheroid,n,A body having nearly the form of a sphere,ክብ,
4546,spherometer,n,An instrument for measuring curvature or radii of spherical surfaces,ስፌሮሜትር,
4547,spinous,adj,Having spines,እሾህ,
4548,spinster,n,A woman who has never been married,ያላገባች ሴት,
4549,spontaneous,adj,Arising from inherent qualities or tendencies without external efficient cause,ድንገተኛ,
4550,sporadic,adj,occurring at irregular intervals,አልፎ አልፎ,
4551,sprightly,adj,Vivacious,አጥባቂ,
4552,spurious,adj,Not genuine,የሐሰት,
4553,squabble,v,To quarrel,መከራከር,
4554,squalid,adj,"Having a dirty, mean, poverty-stricken appearance",ርኩስ,
4555,squatter,n,One who settles on land without permission or right,ያለፈቃድ ሰፋሪ,
4556,stagnant,adj,"Not flowing: said of water, as in a pool",የማይፈስ,
4557,stagnate,v,To become dull or inert,መቀመጥ,
4558,stagnation,n,The condition of not flowing or not changing,መቀመጥ,
4559,stagy,adj,Having a theatrical manner,የተውኔት,
4560,staid,adj,"Of a steady and sober character,,bland, boring",ረጋ,
4561,stallion,n,"An uncastrated male horse, commonly one kept for breeding",ወንድ ፈረስ,
4562,stanchion,n,"A vertical bar, or a pair of bars, used to confine cattle in a stall",ምሰሶ,
4563,stanza,n,"A group of rimed lines, usually forming one of a series of similar divisions in a poem",ስታንዛ,
4564,statecraft,n,The art of conducting state affairs,የመንግስት ጥበብ,
4565,static,adj,Pertaining to or designating bodies at rest or forces in equilibrium,የማይንቀሳቀስ,
4566,statics,n,The branch of mechanics that treats of the relations that subsist among forces in order,ስታቲክስ,
4567,stationary,adj,Not moving,የማይንቀሳቀስ,
4568,statistician,n,One who is skilled in collecting and tabulating numerical facts,ስታቲስቲክስ ባለሙያ,
4569,statuesque,adj,"Having the grace, pose, or quietude of a statue",እንደ ሐውልት,
4570,statuette,n,A figurine,ትንሽ ሐውልት,
4571,stature,n,The natural height of an animal body,ቁመት,
4572,statute,n,"Any authoritatively declared rule, ordinance, decree, or law",ህግ,
4573,stealth,n,A concealed manner of acting,ስውር,
4574,stellar,adj,Pertaining to the stars,የከዋክብት,
4575,steppe,n,One of the extensive plains in Russia and Siberia,ስቴፕ,
4576,sterling,adj,Genuine,እውነተኛ,
4577,stifle,v,To smother,ማነቅ,
4578,stigma,n,A mark of infamy or token of disgrace attaching to a person as the result of evildoing,ስም ማጥፋት,
4579,stiletto,n,A small dagger,ትንሽ ቢላዋ,
4580,stimulant,n,Anything that rouses to activity or to quickened action,ማነቃቂያ,
4581,stimulate,v,To rouse to activity or to quickened action,ማነቃቃት,
4582,stimulus,n,Incentive,ማበረታቻ,
4583,stingy,adj,"Cheap, unwilling to spend money",ቆጣቢ,
4584,stipend,n,A definite amount paid at stated periods in compensation for services or as an allowance,ደሞዝ,
4585,stoic,adj,"impassive, unmoved by extremes of emotion",ስቶይክ,
4586,Stoicism,n,The principles or the practice of the Stoics-being very even tempered in success and failure,ስቶይሲዝም,
4587,stolid,adj,Expressing no power of feeling or perceiving,ስሜት የሌለው,
4588,strait,n,A narrow passage of water connecting two larger bodies of water,ጠባብ የውሃ መንገድ,
4589,stratagem,n,Any clever trick or device for obtaining an advantage,ብልሃት,
4590,stratum,n,"A natural or artificial layer, bed, or thickness of any substance or material",ንብርብር,
4591,streamlet,n,Rivulet,ጅረት,
4592,strident,adj,"loud, harsh, shrill",ጮክ,
4593,stringency,n,Strictness,ጥብቅነት,
4594,stringent,adj,Rigid,ጥብቅ,
4595,stripling,n,A mere youth,ወጣት,
4596,studious,adj,Having or showing devotion to the acquisition of knowledge,ትጉህ,
4597,stultify,v,To give an appearance of foolishness to,ማሳንከር,
4598,stupendous,adj,"Of prodigious size, bulk, or degree",አስደናቂ,
4599,stupor,n,Profound lethargy,ድንጋጤ,
4600,suasion,n,The act of persuading,ማሳመን,
4601,suave,adj,Smooth and pleasant in manner,ጨዋ,
4602,subacid,adj,Somewhat sharp or biting,ትንሽ መራራ,
4603,subaquatic,adj,"Being, formed, or operating under water",ከውሃ በታች,
4604,subconscious,adj,"Being or occurring in the mind, but without attendant consciousness or conscious perception",ከንቃት በታች,
4605,subjacent,adj,Situated directly underneath,ከበታች,
4606,subjection,n,The act of bringing into a state of submission,ማስገዛት,
4607,subjugate,v,"To conquer,,to dominate, put under control",ማስገዛት,
4608,sublime,adj,"supreme, perfect",ከፍተኛ,
4609,subliminal,adj,Being beneath the threshold of consciousness,ከንቃት በታች,
4610,sublingual,adj,Situated beneath the tongue,ከምላስ በታች,
4611,submarine,adj,"Existing, done, or operating beneath the surface of the sea",ከባህር በታች,
4612,submerge,v,To place or plunge under water,ማስገባት,
4613,submergence,n,The act of submerging,ማስገባት,
4614,submersible,adj,Capable of being put underwater,ሊጠልቅ የሚችል,
4615,submersion,n,The act of submerging,ማስገባት,
4616,submission,n,A yielding to the power or authority of another,ማስገዛት,
4617,submittal,n,The act of submitting,ማቅረብ,
4618,subordinate,adj,Belonging to an inferior order in a classification,ተገዢ,
4619,subsequent,adj,Following in time,ቀጣይ,
4620,subservience,n,"The quality, character, or condition of being servilely following another's behests",ተገዢነት,
4621,subservient,adj,Servilely following another's behests,ተገዢ,
4622,subside,v,To relapse into a state of repose and tranquility,ማረጋጋት,
4623,subsidize,v,to assist financially,በገንዘብ መደገፍ,
4624,subsist,v,To be maintained or sustained,መኖር,
4625,subsistence,n,Sustenance,መተዳደሪያ,
4626,substantive,adj,Solid,ተጨባጭ,
4627,subtend,v,To extend opposite to,መዘርጋት,
4628,subterfuge,n,Evasion,ማምለጥ,
4629,subterranean,adj,Situated or occurring below the surface of the earth,ከመሬት በታች,
4630,subtle,adj,"Discriminating,,not overt, nuanced, subject to fine distinctions",ስውር,
4631,subtrahend,n,That which is to be subtracted,የሚቀንስ,
4632,subversion,n,"An overthrow, as from the foundation",መውረር,
4633,subvert,v,To bring to ruin,ማውረስ,
4634,succeed,v,To accomplish what is attempted or intended,መሳካት,
4635,success,n,A favorable or prosperous course or termination of anything attempted,ስኬት,
4636,successful,adj,Having reached a high degree of worldly prosperity,ስኬታማ,
4637,successor,n,One who or that which takes the place of a predecessor or preceding thing,ተከታይ,
4638,succinct,adj,"Concise,,concise, terse, pithy",አጭር,
4639,succulent,adj,Juicy,ጭማቂ,
4640,succumb,v,To cease to resist,መሸነፍ,
4641,sufferance,n,Toleration,መታገስ,
4642,sufficiency,n,An ample or adequate supply,በቂነት,
4643,suffrage,n,The right or privilege of voting,የምርጫ መብት,
4644,suffuse,v,To cover or fill the surface of,መሙላት,
4645,suggestible,adj,That can be suggested,ሊጠቆም የሚችል,
4646,suggestive,adj,Stimulating to thought or reflection,አሳሳቢ,
4647,summary,n,An abstract,ማጠቃለያ,
4648,sumptuous,adj,Rich and costly,ውድ,
4649,superabundance,n,An excessive amount,ከመጠን በላይ,
4650,superadd,v,To add in addition to what has been added,ማከል,
4651,superannuate,v,To become deteriorated or incapacitated by long service,ጡረታ መውጣት,
4652,superb,adj,Sumptuously elegant,እጅግ የሚያምር,
4653,supercilious,adj,"Exhibiting haughty and careless contempt,,haughty, arrogant, overly proud",ትዕቢተኛ,
4654,superficial,adj,"on the surface, lacking depth,,Knowing and understanding only the ordinary and the obvious",ላይኛ,
4655,superfluity,n,That part of anything that is in excess of what is needed,ትርፍ,
4656,superfluous,adj,"Being more than is needed,,unnecessary, extraneous",ትርፍ,
4657,superheat,v,To heat to excess,ከመጠን በላይ ማሞቅ,
4658,superintend,v,"To have the charge and direction of, especially of some work or movement",መቆጣጠር,
4659,superintendence,n,Direction and management,ቁጥጥር,
4660,superintendent,n,"One who has the charge and direction of, especially of some work or movement",ኃላፊ,
4661,superlative,n,That which is of the highest possible excellence or eminence,ከፍተኛ,
4662,supernatural,adj,Caused miraculously or by the immediate exercise of divine power,ከተፈጥሮ በላይ,
4663,supernumerary,adj,Superfluous,ትርፍ,
4664,supersede,v,To displace,መተካት,
4665,supine,adj,Lying on the back,ተኝቶ,
4666,supplant,v,To take the place of,መተካት,
4667,supple,adj,Easily bent,ተጣጣፊ,
4668,supplementary,adj,Being an addition to,ተጨማሪ,
4669,supplicant,n,One who asks humbly and earnestly,ለማኝ,
4670,supplicate,v,To beg,ለመነ,
4671,supposition,n,Conjecture,ግምት,
4672,suppress,v,To prevent from being disclosed or punished,ማገድ,
4673,suppressible,adj,Capable of being suppressed,የሚታገስ,
4674,suppression,n,A forcible putting or keeping down,ማገድ,
4675,supramundane,adj,Supernatural,ከተፈጥሮ በላይ,
4676,surcharge,n,An additional amount charged,ተጨማሪ ክፍያ,
4677,surety,n,Security for payment or performance,ዋስትና,
4678,surfeit,v,To feed to fullness or to satiety,ማርካት,
4679,surmise,v,To conjecture,መገመት,
4680,surmount,v,To overcome by force of will,ማሸነፍ,
4681,surreptitious,adj,"Clandestine,,secretive, stealthy",ስውር,
4682,surrogate,n,One who or that which is substituted for or appointed to act in place of another,ተኪ,
4683,surround,v,To encircle,ማካበብ,
4684,surveyor,n,A land-measurer,ቀያሽ,
4685,susceptibility,n,A specific capability of feeling or emotion,ተጋላጭነት,
4686,susceptible,adj,Easily under a specified power or influence,ተጋላጭ,
4687,suspense,n,Uncertainty,አለመታወቅ,
4688,suspension,n,A hanging from a support,ማቆም,
4689,suspicious,adj,Inclined to doubt or mistrust,አጠራጣሪ,
4690,sustenance,n,Food,ምግብ,
4691,swarthy,adj,"Having a dark hue, especially a dark or sunburned complexion",ጥቁር,
4692,Sybarite,n,A luxurious person,ሲባራዊ,
4693,sycophant,n,"A servile flatterer, especially of those in authority or influence,,brown-noser, servile flatterer",አድናቂ,
4694,syllabic,adj,Consisting of that which is uttered in a single vocal impulse,የፊደል,
4695,syllabication,n,Division of words into that which is uttered in a single vocal impulse,የፊደል ክፍል,
4696,syllable,n,That which is uttered in a single vocal impulse,ፊደል,
4697,syllabus,n,"Outline of a subject, course, lecture, or treatise",ሥርዓተ ትምህርት,
4698,sylph,n,"A slender, graceful young woman or girl",ቀጭን ሴት,
4699,symmetrical,adj,Well-balanced,ተመጣጣኝ,
4700,symmetry,n,Relative proportion and harmony,ተመጣጣኝነት,
4701,sympathetic,adj,Having a fellow-feeling for or like feelings with another or others,አዛኝ,
4702,sympathize,v,To share the sentiments or mental states of another,ማዘን,
4703,symphonic,adj,Characterized by a harmonious or agreeable mingling of sounds,ሲምፎኒ,
4704,symphonious,adj,Marked by a harmonious or agreeable mingling of sounds,ሲምፎኒ,
4705,symphony,n,A harmonious or agreeable mingling of sounds,ሲምፎኒ,
4706,synchronism,n,Simultaneousness,በአንድ ጊዜ,
4707,syndicate,n,An association of individuals united for the prosecution of some enterprise,ሲንዲኬት,
4708,syneresis,n,"The coalescence of two vowels or syllables, as e'er for ever",ሲኔሬሲስ,
4709,synod,n,An ecclesiastical council,ሲኖዶስ,
4710,synonym,n,A word having the same or almost the same meaning as some other,ተመሳሳይ ቃል,
4711,synopsis,n,A syllabus or summary,ማጠቃለያ,
4712,systematic,adj,Methodical,ስልታዊ,
4713,tableau,n,An arrangement of inanimate figures representing a scene from real life,ሥዕል,
4714,tacit,adj,Understood,የታወቀ,
4715,taciturn,adj,"Disinclined to conversation,,quiet, reserved",ዝምተኛ,
4716,tack,n,A small sharp-pointed nail,ሚስማር,
4717,tact,n,Fine or ready mental discernment shown in saying or doing the proper thing,ብልህነት,
4718,tactician,n,One who directs affairs with skill and shrewdness,ታክቲሻን,
4719,tactics,n,Any maneuvering or adroit management for effecting an object,ስልት,
4720,tangency,n,The state of touching,መንካት,
4721,tangent,adj,Touching,የሚነካ,
4722,tangible,adj,"Perceptible by touch,,able to be touched, solid",የሚዳሰስ,
4723,tannery,n,A place where leather is tanned,ቆዳ ማድረቂያ,
4724,tantalize,v,To tease,ማሳፈር,
4725,tantamount,adj,"Having equal or equivalent value, effect, or import",እኩል,
4726,tapestry,n,"A fabric to which a pattern is applied with a needle, designed for ornamental hangings",ግድግዳ ላይ የሚሰቀል ጨርቅ,
4727,tarnish,v,To lessen or destroy the luster of in any way,ማበላሸት,
4728,taut,adj,Stretched tight,የተጣበቀ,
4729,taxation,n,"A levy, by government, of a fixed contribution",ግብር,
4730,taxidermy,n,The art or process of preserving dead animals or parts of them,የእንስሳት ቅሪት ጥበቃ,
4731,technic,adj,Technical,ቴክኒካዊ,
4732,technicality,n,"Something peculiar to a particular art, trade, or the like",ቴክኒካዊነት,
4733,technique,n,Manner of performance,ቴክኒክ,
4734,technography,n,The scientific description or study of human arts and industries in their historic development,ቴክኖግራፊ,
4735,technology,n,The knowledge relating to industries and manufactures,ቴክኖሎጂ,
4736,teem,v,To be full to overflowing,መሞላት,
4737,telepathy,n,Thought-transference,ቴሌፓቲ,
4738,telephony,n,The art or process of communicating by telephone,ቴሌፎን,
4739,telescope,v,To drive together so that one slides into the another like the sections of a spyglass,ቴሌስኮፕ,
4740,telltale,adj,That gives warning or information,አሳዋቂ,
4741,temerity,n,Recklessness,ድፍረት,
4742,tempetuous,adj,of or pertaining to a tempest or storm,የማዕበል,
4743,temporal,adj,Pertaining to or concerned with the affairs of the present life,ጊዜያዊ,
4744,temporary,adj,Lasting for a short time only,ጊዜያዊ,
4745,temporize,v,To pursue a policy of delay,ማዘግየት,
4746,tempt,v,To offer to (somebody) an inducement to do wrong,ማጥመም,
4747,tempter,n,An allurer or enticer to evil,አጥመሚ,
4748,tenacious,adj,"Unyielding,,unyielding, forceful",ግትር,
4749,tenant,n,An occupant,ተከራይ,
4750,tendency,n,"Direction or inclination, as toward some objector end",ዝንባሌ,
4751,tenet,n,"Any opinion, principle, dogma, or doctrine that a person believes or maintains as TRUE,,a key belief or principle",መርህ,
4752,tenor,n,A settled course or manner of progress,አካሄድ,
4753,tense,adj,Strained to stiffness,የተጣበቀ,
4754,tentative,adj,"Done as an experiment,,possible but subject to change, not definite",ሙከራ,
4755,tenure,n,The term during which a thing is held,የስልጣን ጊዜ,
4756,tercentenary,adj,Pertaining to a period of 300 years,የሦስት መቶ ዓመት,
4757,termagant,adj,Violently abusive and quarrelsome,ጨካኝ,
4758,terminal,adj,"Pertaining to or creative of a boundary, limit",የመጨረሻ,
4759,terminate,v,To put an end or stop to,ማቆም,
4760,termination,n,The act of ending or concluding,መጨረሻ,
4761,terminus,n,The final point or goal,መጨረሻ,
4762,terrify,v,To fill with extreme fear,ማስፈራራት,
4763,territorial,adj,Pertaining to the domain over which a sovereign state exercises jurisdiction,የግዛት,
4764,terse,adj,"Pithy,,short, to the point, succinct",አጭር,
4765,testament,n,A will,ኑዛዜ,
4766,testator,n,The maker of a will,ኑዛዜ አውጪ,
4767,testimonial,n,"A formal token of regard, often presented in public",ምስክርነት,
4768,thearchy,n,Government by a supreme deity,በአምላክ አገዛዝ,
4769,theism,n,Belief in God,ቲዝም,
4770,theocracy,n,A government administered by ecclesiastics,ቲኦክራሲ,
4771,theocrasy,n,The mixed worship of polytheism,ቲኦክራሲ,
4772,theologian,n,A professor of divinity,ሥነ-መለኮት ሊቅ,
4773,theological,adj,Based on or growing out of divine revelation,ሥነ-መለኮታዊ,
4774,theology,n,"The branch of theological science that treats of God,,the study of religion",ሥነ-መለኮት,
4775,theoretical,adj,Directed toward knowledge for its own sake without respect to applications,ንድፈ-ሐሳባዊ,
4776,theorist,n,One given to speculating,ንድፈ-ሐሳብ ባለሙያ,
4777,theorize,v,To speculate,ንድፈ-ሐሳብ ማውጣት,
4778,thereabout,adv,"Near that number, quantity, degree, place, or time, approximately",በግምት,
4779,therefor,adv,For that or this,ለዚህ,
4780,thermal,adj,Of or pertaining to heat,የሙቀት,
4781,thermoelectric,adj,Denoting electricity produced by heat,የሙቀት ኤሌክትሪክ,
4782,thermoelectricity,n,"Electricity generated by differences of temperature,",የሙቀት ኤሌክትሪክ,
4783,thesis,n,An essay or treatise on a particular subject,መመረቂያ,
4784,thoroughbred,adj,Bred from the best or purest blood or stock,ንጹህ ዝርያ,
4785,thoroughfare,n,A public street or road,መንገድ,
4786,thrall,n,One controlled by an appetite or a passion,ባሪያ,
4787,tilth,n,Cultivation,እርሻ,
4788,timbre,n,"The quality of a tone, as distinguished from intensity and pitch",ድምጽ,
4789,timorous,adj,"Lacking courage,,timid, fearful",ፈሪ,
4790,tincture,n,"A solution, usually alcoholic, of some principle used in medicine",መፍትሄ,
4791,tinge,n,A faint trace of color,ቀለም,
4792,tipsy,adj,Befuddled with drinks,የሰከረ,
4793,tirade,n,"Harangue,,a lengthy and abusive verbal attack",ረዥም ውግዘት,
4794,tireless,adj,Untiring,የማይታክት,
4795,tiresome,adj,Wearisome,አድካሚ,
4796,Titanic,adj,Of vast size or strength,ግዙፍ,
4797,toilsome,adj,Laborious,አድካሚ,
4798,tolerable,adj,Moderately good,የሚታገስ,
4799,tolerance,n,Forbearance in judging of the acts or opinions of others,መታገስ,
4800,tolerant,adj,Indulgent,ታጋሽ,
4801,tolerate,v,To passively permit or put up with,መታገስ,
4802,toleration,n,A spirit of charitable leniency,መታገስ,
